date,total_value,cash,positions_value
2024-01-01,999183.1318953,618155.1318953,381028.0
2024-01-02,997256.3240149,419629.3240149,577627.0
2024-01-03,996028.3240149,419629.3240149,576399.0
2024-01-04,992161.3240149,419629.3240149,572532.0
2024-01-05,992958.3240149,419629.3240149,573329.0
2024-01-08,992468.3240149,419629.3240149,572839.0
2024-01-09,988499.3240149,419629.3240149,568870.0
2024-01-10,987626.3240149,419629.3240149,567997.0
2024-01-11,990401.3240149,419629.3240149,570772.0
2024-01-12,991009.3240149,419629.3240149,571380.0
2024-01-15,992463.3240149,419629.3240149,572834.0
2024-01-16,989103.3240149,419629.3240149,569474.0
2024-01-17,989278.3240149,419629.3240149,569649.0
2024-01-18,987644.3240149,419629.3240149,568015.0
2024-01-19,986961.3240149,419629.3240149,567332.0
2024-01-22,986226.3240149,419629.3240149,566597.0
2024-01-23,987890.3240149,419629.3240149,568261.0
2024-01-24,988267.3240149,419629.3240149,568638.0
2024-01-25,986999.3240149,419629.3240149,567370.0
2024-01-26,984595.3240149,419629.3240149,564966.0
2024-01-29,985754.3240149,419629.3240149,566125.0
2024-01-30,985193.3240149,419629.3240149,565564.0
2024-01-31,987302.5664172,599333.5664172,387969.0
2024-02-01,987913.0190796,596740.0190796,391173.0
2024-02-02,987365.3853701,399118.38537010003,588247.0
2024-02-05,984720.3853701,399118.38537010003,585602.0
2024-02-06,984707.3853701,399118.38537010003,585589.0
2024-02-07,985119.3853701,399118.38537010003,586001.0
2024-02-08,984263.3853701,399118.38537010003,585145.0
2024-02-09,981238.3853701,399118.38537010003,582120.0
2024-02-12,981757.3853701,399118.38537010003,582639.0
2024-02-13,983157.3853701,399118.38537010003,584039.0
2024-02-14,981571.3853701,399118.38537010003,582453.0
2024-02-15,980205.3853701,399118.38537010003,581087.0
2024-02-16,978249.3853701,399118.38537010003,579131.0
2024-02-19,981679.3853701,399118.38537010003,582561.0
2024-02-20,982183.3853701,399118.38537010003,583065.0
2024-02-21,983902.3853701,399118.38537010003,584784.0
2024-02-22,985315.3853701,399118.38537010003,586197.0
2024-02-23,986046.3853701,399118.38537010003,586928.0
2024-02-26,985254.3853701,399118.38537010003,586136.0
2024-02-27,983162.3853701,399118.38537010003,584044.0
2024-02-28,984921.3853701,399118.38537010003,585803.0
2024-02-29,985853.3853701,399118.38537010003,586735.0
2024-03-01,987325.222874,586689.222874,400636.0
2024-03-04,987237.0646351,590367.0646351,396870.0
2024-03-05,986328.0646351,590367.0646351,395961.0
2024-03-06,988134.0646351,590367.0646351,397767.0
2024-03-07,986760.0646351,590367.0646351,396393.0
2024-03-08,987459.0646351,590367.0646351,397092.0
2024-03-11,986598.0646351,590367.0646351,396231.0
2024-03-12,985609.4597401,390457.45974009996,595152.0
2024-03-13,986005.4597401,390457.45974009996,595548.0
2024-03-14,985033.4597401,390457.45974009996,594576.0
2024-03-15,984103.4597401,390457.45974009996,593646.0
2024-03-18,981355.4597401,390457.45974009996,590898.0
2024-03-19,983026.4597401,390457.45974009996,592569.0
2024-03-20,984535.4597401,390457.45974009996,594078.0
2024-03-21,982177.4597401,390457.45974009996,591720.0
2024-03-22,981232.4597401,390457.45974009996,590775.0
2024-03-25,979345.4597401,390457.45974009996,588888.0
2024-03-26,979201.4597401,390457.45974009996,588744.0
2024-03-27,975823.4597401,390457.45974009996,585366.0
2024-03-28,975064.4597401,390457.45974009996,584607.0
2024-03-29,973429.4597401,390457.45974009996,582972.0
2024-04-01,970864.4597401,390457.45974009996,580407.0
2024-04-02,973537.4597401,390457.45974009996,583080.0
2024-04-03,971905.3095860999,578805.3095860999,393100.0
2024-04-04,970815.3095860999,578805.3095860999,392010.0
2024-04-05,970731.3095860999,578805.3095860999,391926.0
2024-04-08,971513.1798386,387732.1798386,583781.0
2024-04-09,972551.1798386,387732.1798386,584819.0
2024-04-10,971147.1798386,387732.1798386,583415.0
2024-04-11,969848.3466461,579066.3466461,390782.0
2024-04-12,968270.3466461,579066.3466461,389204.0
2024-04-15,968093.1603091,381019.16030910006,587074.0
2024-04-16,971820.1603091,381019.16030910006,590801.0
2024-04-17,972865.1603091,381019.16030910006,591846.0
2024-04-18,971472.1603091,381019.16030910006,590453.0
2024-04-19,969426.1603091,381019.16030910006,588407.0
2024-04-22,969006.1603091,381019.16030910006,587987.0
2024-04-23,970282.1603091,381019.16030910006,589263.0
2024-04-24,969995.1603091,381019.16030910006,588976.0
2024-04-25,967932.1603091,381019.16030910006,586913.0
2024-04-26,968661.1603091,381019.16030910006,587642.0
2024-04-29,969568.1603091,381019.16030910006,588549.0
2024-04-30,970372.1603091,381019.16030910006,589353.0
2024-05-01,967635.1603091,381019.16030910006,586616.0
2024-05-02,966384.1603091,381019.16030910006,585365.0
2024-05-03,965750.5076815,382490.50768150005,583260.0
2024-05-06,964253.5076815,382490.50768150005,581763.0
2024-05-07,963530.5076815,382490.50768150005,581040.0
2024-05-08,964593.4303683001,570892.4303683001,393701.0
2024-05-09,966017.4303683001,570892.4303683001,395125.0
2024-05-10,967133.4303683001,570892.4303683001,396241.0
2024-05-13,965744.4303683001,570892.4303683001,394852.0
2024-05-14,965055.4303683001,570892.4303683001,394163.0
2024-05-15,969534.4379534002,568674.4379534002,400860.0
2024-05-16,968342.4379534002,568674.4379534002,399668.0
2024-05-17,969504.4379534002,568674.4379534002,400830.0
2024-05-20,969238.4379534002,568674.4379534002,400564.0
2024-05-21,969006.4379534002,568674.4379534002,400332.0
2024-05-22,965904.4379534002,568674.4379534002,397230.0
