股票,买入日期,买入价,卖出日期,卖出价,收益率,盈亏金额,持有天数,退出原因
sh.600519,2023-08-29,1828.0,2023-09-26,1816.0,-0.66,-1200.0,20,timeout
sh.601318,2023-08-29,48.04,2023-09-26,48.56,1.08,1768.0,20,timeout
sh.600036,2023-08-29,32.26,2023-09-26,32.8,1.67,2160.0,20,timeout
sh.601012,2023-09-28,27.72,2023-10-16,26.33,-5.0,-9979.2,6,stop_loss
sh.600036,2023-10-13,32.78,2023-10-23,31.14,-5.0,-8031.1,6,stop_loss
sh.601012,2023-10-30,24.72,2023-11-01,23.48,-5.0,-6303.6,2,stop_loss
sz.300059,2023-10-25,15.12,2023-11-22,15.0,-0.79,-1560.0,20,timeout
sh.600276,2023-10-27,44.26,2023-11-24,46.93,6.03,9345.0,20,timeout
sh.601166,2023-11-15,14.77,2023-12-07,14.03,-5.0,-6203.4,16,stop_loss
sh.600036,2023-12-04,28.27,2024-01-02,27.58,-2.44,-4140.0,20,timeout
sz.002714,2023-12-05,40.21,2024-01-03,41.07,2.14,2924.0,20,timeout
sz.000651,2023-12-21,31.1,2024-01-19,33.55,7.88,10535.0,20,timeout
sh.601888,2024-01-22,84.0,2024-01-23,79.8,-5.0,-6720.0,1,stop_loss
sh.601166,2024-01-03,14.75,2024-01-31,15.73,6.64,9310.0,20,timeout
sh.601888,2024-01-25,81.0,2024-02-02,76.95,-5.0,-6885.0,6,stop_loss
sh.600036,2024-01-08,28.17,2024-02-05,30.71,9.02,12700.0,20,timeout
sh.600276,2024-02-01,37.2,2024-02-23,42.78,15.0,21204.0,10,take_profit
sh.600887,2024-02-05,27.07,2024-03-12,28.66,5.87,8109.0,20,timeout
sh.600036,2024-02-06,30.71,2024-03-13,31.52,2.64,3726.0,20,timeout
sh.601888,2024-03-18,89.0,2024-03-22,84.55,-5.0,-7120.0,4,stop_loss
sh.600900,2024-02-26,25.49,2024-03-25,24.98,-2.0,-2958.0,20,timeout
sh.600276,2024-03-13,45.0,2024-04-12,44.09,-2.02,-2912.0,20,timeout
sh.600900,2024-03-26,25.0,2024-04-25,25.68,2.72,4760.0,20,timeout
sh.600036,2024-03-27,32.29,2024-04-26,34.48,6.78,9417.0,20,timeout
sh.601166,2024-04-17,15.91,2024-05-20,17.86,12.26,17160.0,20,timeout
sh.601888,2024-05-21,77.5,2024-05-24,73.62,-5.0,-7362.5,3,stop_loss
sh.600900,2024-04-26,25.61,2024-05-29,26.69,4.22,6264.0,20,timeout
sh.600036,2024-04-29,34.4,2024-05-30,34.34,-0.17,-258.0,20,timeout
sh.601012,2024-05-30,19.11,2024-06-06,18.15,-5.0,-8981.7,5,stop_loss
sh.600276,2024-06-05,43.83,2024-06-13,41.64,-5.0,-7231.95,5,stop_loss
sh.600900,2024-05-30,26.66,2024-06-28,28.92,8.48,12204.0,20,timeout
sh.600036,2024-07-03,35.01,2024-07-11,33.26,-5.0,-7177.05,6,stop_loss
sz.002714,2024-06-14,44.4,2024-07-12,43.04,-3.06,-5304.0,20,timeout
sz.002475,2024-06-18,37.77,2024-07-16,43.17,14.3,19980.0,20,timeout
sz.002475,2024-07-17,43.0,2024-07-18,40.85,-5.0,-7525.0,1,stop_loss
sz.002475,2024-07-19,39.72,2024-07-24,37.73,-5.0,-7546.8,3,stop_loss
sh.600036,2024-07-12,33.01,2024-08-09,32.33,-2.06,-2924.0,20,timeout
sh.601888,2024-07-15,66.0,2024-08-12,63.95,-3.11,-4510.0,20,timeout
sz.000651,2024-07-29,40.07,2024-08-26,42.07,4.99,7400.0,20,timeout
sh.600036,2024-08-16,32.75,2024-09-05,31.11,-5.0,-7041.25,14,stop_loss
sh.601888,2024-08-29,59.23,2024-09-09,56.27,-5.0,-7107.6,7,stop_loss
sh.600276,2024-08-13,43.6,2024-09-10,44.48,2.02,3520.0,20,timeout
sh.600809,2024-09-11,159.66,2024-09-13,151.68,-5.0,-7184.7,2,stop_loss
sz.300059,2024-09-20,10.66,2024-09-25,12.26,15.0,21426.6,3,take_profit
sh.600036,2024-09-10,30.25,2024-09-26,34.79,15.0,25410.0,10,take_profit
sh.601166,2024-09-10,16.0,2024-09-26,18.4,15.0,20160.0,10,take_profit
sh.600519,2024-09-26,1399.96,2024-09-27,1609.95,15.0,20999.4,1,take_profit
sh.601318,2024-09-27,51.9,2024-10-08,59.68,15.0,28026.0,2,take_profit
sh.601318,2024-10-09,60.0,2024-10-09,57.0,-5.0,-8100.0,0,stop_loss
sh.600519,2024-10-10,1622.26,2024-10-16,1541.15,-5.0,-8111.3,4,stop_loss
sh.600276,2024-09-30,50.2,2024-10-25,47.69,-5.0,-7530.0,14,stop_loss
sh.600036,2024-09-27,36.11,2024-11-01,38.01,5.26,7980.0,20,timeout
sz.002475,2024-10-28,43.6,2024-11-06,41.42,-5.0,-7848.0,7,stop_loss
sh.600887,2024-10-17,26.33,2024-11-08,30.28,15.0,24091.95,16,take_profit
sz.002475,2024-11-07,40.55,2024-11-18,38.52,-5.0,-7907.25,7,stop_loss
sh.600519,2024-11-11,1590.0,2024-11-22,1510.5,-5.0,-7950.0,9,stop_loss
sh.600809,2024-11-04,208.76,2024-11-25,198.32,-5.0,-7306.6,15,stop_loss
sh.601166,2024-11-19,18.51,2024-12-17,18.36,-0.81,-1320.0,20,timeout
sz.300059,2024-12-02,26.8,2024-12-19,25.46,-5.0,-7504.0,13,stop_loss
sz.002475,2024-11-28,38.86,2024-12-26,42.32,8.9,16608.0,20,timeout
