date,total_value,cash,positions_value
2025-01-02,999345.3,103654.4,895690.9
2025-01-03,979983.78,145795.18,834188.6
2025-01-06,986072.03,145795.18,840276.85
2025-01-07,1007082.32,219.88,1006862.43
2025-01-08,1021190.17,219.88,1020970.29
2025-01-09,1027153.18,242.3,1026910.88
2025-01-10,1017402.31,242.3,1017160.01
2025-01-13,1005823.45,143752.12,862071.33
2025-01-14,1037626.72,962.51,1036664.22
2025-01-15,1029570.55,6533.9,1023036.65
2025-01-16,1014427.79,265.63,1014162.16
2025-01-17,1037741.15,265.63,1037475.51
2025-01-20,1044488.82,-22.23,1044511.04
2025-01-21,1066471.35,21702.99,1044768.36
2025-01-22,1071985.16,69839.21,1002145.95
2025-01-23,1070622.24,69839.21,1000783.03
2025-01-24,1081824.44,69793.11,1012031.33
2025-01-27,1044949.73,1920.02,1043029.71
2025-02-05,1054706.02,624.19,1054081.83
2025-02-06,1078723.9,19.34,1078704.56
2025-02-07,1108728.88,11898.6,1096830.28
2025-02-10,1117275.28,192774.06,924501.22
2025-02-11,1119697.04,5126.97,1114570.07
2025-02-12,1138431.55,5126.97,1133304.57
2025-02-13,1119379.06,5126.97,1114252.09
2025-02-14,1126100.9,5126.97,1120973.93
2025-02-17,1130326.12,57539.59,1072786.53
2025-02-18,1124913.58,57539.59,1067373.99
2025-02-19,1140862.19,57539.59,1083322.59
2025-02-20,1147041.0,57539.59,1089501.41
2025-02-21,1158717.38,57539.59,1101177.79
2025-02-24,1137249.89,3014.02,1134235.87
2025-02-25,1133361.93,292878.99,840482.94
2025-02-26,1129767.2,2789.2,1126978.0
2025-02-27,1116367.27,2789.2,1113578.08
2025-02-28,1074681.5,91362.73,983318.76
2025-03-03,1077078.61,135027.21,942051.4
2025-03-04,1079455.11,160281.71,919173.4
2025-03-05,1098338.99,11805.53,1086533.46
2025-03-06,1101174.96,35143.35,1066031.61
2025-03-07,1092284.44,35143.35,1057141.09
2025-03-10,1090558.24,169197.59,921360.65
2025-03-11,1118415.98,20273.58,1098142.4
2025-03-12,1122936.83,41159.52,1081777.3
2025-03-13,1131952.26,32154.51,1099797.75
2025-03-14,1153456.57,1410.51,1152046.06
2025-03-17,1176416.58,150716.81,1025699.77
2025-03-18,1188488.83,558.85,1187929.98
2025-03-19,1159128.68,558.85,1158569.83
2025-03-20,1161225.16,558.85,1160666.3
2025-03-21,1147046.98,2129.24,1144917.74
2025-03-24,1170432.7,154415.73,1016016.97
2025-03-25,1158447.73,289.08,1158158.65
2025-03-26,1149660.93,289.08,1149371.84
2025-03-27,1142445.8,2214.04,1140231.76
2025-03-28,1132234.22,114556.58,1017677.64
2025-03-31,1138842.48,155250.12,983592.36
2025-04-01,1141492.44,6641.45,1134850.99
2025-04-02,1132068.63,139197.6,992871.04
2025-04-03,1129816.16,142269.39,987546.77
2025-04-07,1054731.63,1134.22,1053597.41
2025-04-08,1059658.07,448019.76,611638.3
2025-04-09,1034993.14,284445.93,750547.21
2025-04-10,1056305.17,284445.93,771859.23
2025-04-11,1063569.73,289051.27,774518.46
2025-04-14,1074646.99,140298.71,934348.28
2025-04-15,1083537.89,43445.0,1040092.89
2025-04-16,1086519.23,808.02,1085711.22
2025-04-17,1081420.47,3668.39,1077752.08
2025-04-18,1085049.94,7151.04,1077898.89
2025-04-21,1104660.42,54207.52,1050452.9
2025-04-22,1103321.02,54207.52,1049113.51
2025-04-23,1113708.92,54207.52,1059501.4
2025-04-24,1118078.51,67113.27,1050965.23
2025-04-25,1122023.36,67563.29,1054460.07
2025-04-28,1118947.28,310.28,1118637.0
2025-04-29,1116576.11,68695.02,1047881.1
2025-04-30,1118236.81,595.74,1117641.08
2025-05-06,1109077.45,23140.86,1085936.59
2025-05-07,1113617.71,23140.86,1090476.85
2025-05-08,1117934.94,30815.52,1087119.42
2025-05-09,1112854.31,39537.9,1073316.42
2025-05-12,1159612.26,196712.95,962899.32
2025-05-13,1160768.69,74398.09,1086370.6
2025-05-14,1161118.65,74398.09,1086720.56
2025-05-15,1150828.97,74398.09,1076430.88
2025-05-16,1152010.0,12447.68,1139562.33
2025-05-19,1147212.93,320.77,1146892.15
2025-05-20,1160825.04,320.77,1160504.26
2025-05-21,1169347.97,320.77,1169027.2
2025-05-22,1166291.04,1166.51,1165124.53
2025-05-23,1163530.35,1166.51,1162363.85
2025-05-26,1157005.85,1487.18,1155518.67
2025-05-27,1154017.13,123879.65,1030137.48
2025-05-28,1163944.82,307.68,1163637.14
2025-05-29,1178745.76,143707.39,1035038.37
2025-05-30,1179303.77,6459.42,1172844.35
2025-06-03,1178634.89,6459.42,1172175.47
2025-06-04,1206533.61,6459.42,1200074.18
2025-06-05,1234609.9,25098.68,1209511.22
2025-06-06,1235116.53,186385.91,1048730.62
2025-06-09,1236934.69,42947.67,1193987.03
2025-06-10,1245391.74,42947.67,1202444.07
2025-06-11,1266446.66,42947.67,1223498.99
2025-06-12,1281354.8,42947.67,1238407.14
2025-06-13,1265993.59,215525.45,1050468.14
2025-06-16,1281260.69,66660.38,1214600.31
2025-06-17,1290564.83,66660.38,1223904.45
2025-06-18,1311998.05,79553.53,1232444.52
2025-06-19,1304425.47,86397.24,1218028.23
2025-06-20,1302737.72,103386.11,1199351.61
2025-06-23,1308910.13,103386.11,1205524.02
2025-06-24,1328966.9,103386.11,1225580.79
2025-06-25,1341985.71,103386.11,1238599.6
