code,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
sh.600875,2025-01-03,2025-01-06,14.719,14.298,10200,-4485.17,-0.0286,3,signal_reverse
sh.600183,2025-01-06,2025-01-09,22.017,25.294,4700,15248.2,0.1488,3,take_profit
sz.001965,2025-01-03,2025-01-13,12.898,12.661,11600,-2946.93,-0.0184,10,timeout
sh.601838,2025-01-03,2025-01-13,16.077,15.902,9300,-1820.93,-0.0109,10,timeout
sh.600919,2025-01-03,2025-01-13,9.003,9.019,16600,83.87,0.0019,10,timeout
sz.002384,2025-01-03,2025-01-13,29.516,29.338,5000,-1083.48,-0.006,10,timeout
sh.601288,2025-01-03,2025-01-13,4.801,4.752,31200,-1717.88,-0.0102,10,timeout
sh.600176,2025-01-15,2025-01-16,11.093,11.157,500,25.06,0.0058,1,signal_reverse
sz.300866,2025-01-08,2025-01-20,97.021,102.417,1500,7894.64,0.0556,12,timeout
sh.603993,2025-01-10,2025-01-20,6.667,6.73,17800,966.5,0.0095,10,timeout
sz.002050,2025-01-14,2025-01-21,26.024,29.898,5700,21858.81,0.1488,7,take_profit
sz.300476,2025-01-14,2025-01-22,46.328,53.224,3200,21845.65,0.1488,8,take_profit
sz.002384,2025-01-14,2025-01-22,29.117,33.451,5100,21881.98,0.1488,8,take_profit
sh.601288,2025-01-14,2025-01-24,4.752,4.761,31500,101.11,0.002,10,timeout
sz.002920,2025-01-15,2025-01-27,105.539,105.825,1300,193.62,0.0027,12,timeout
sz.000408,2025-01-17,2025-01-27,31.332,29.641,200,-345.93,-0.054,10,timeout
sz.300308,2025-01-23,2025-01-27,131.89,118.583,1100,-14808.08,-0.1009,4,stop_loss
sz.300476,2025-01-23,2025-01-27,58.869,52.929,2500,-15021.64,-0.1009,4,stop_loss
sh.600460,2025-01-21,2025-02-05,25.484,25.703,5800,1072.79,0.0086,15,timeout
sh.603993,2025-01-21,2025-02-05,6.782,6.892,18500,1879.35,0.0163,15,timeout
sz.002050,2025-01-22,2025-02-05,29.686,32.155,5000,12135.04,0.0832,14,timeout
sh.600919,2025-01-27,2025-02-06,9.361,9.21,16000,-2621.96,-0.0162,10,timeout
sz.002920,2025-02-05,2025-02-07,107.972,124.044,1300,20683.5,0.1488,2,take_profit
sz.000895,2025-02-05,2025-02-11,24.159,23.061,1400,-1578.25,-0.0454,6,signal_reverse
sz.300832,2025-02-10,2025-02-11,59.649,59.53,2500,-491.42,-0.002,1,signal_reverse
sz.000408,2025-02-05,2025-02-17,29.971,31.067,5000,5280.35,0.0366,12,timeout
sz.002475,2025-02-05,2025-02-17,40.386,42.355,3700,7082.46,0.0488,12,timeout
sz.300308,2025-02-06,2025-02-17,100.266,114.729,1400,20040.06,0.1443,11,timeout
sh.600460,2025-02-06,2025-02-17,25.734,26.58,5800,4707.72,0.0329,11,timeout
sh.603993,2025-02-06,2025-02-17,6.963,6.758,21300,-4550.01,-0.0294,11,timeout
sz.002594,2025-02-07,2025-02-17,105.516,114.684,1400,12626.32,0.0869,10,timeout
sz.002050,2025-02-12,2025-02-24,31.873,33.152,4700,5810.54,0.0401,12,timeout
sz.300476,2025-02-12,2025-02-24,53.985,53.007,700,-732.7,-0.0181,12,timeout
sz.300832,2025-02-18,2025-02-26,60.823,58.825,2400,-4977.09,-0.0328,8,signal_reverse
sh.600176,2025-02-25,2025-02-26,11.093,11.042,13500,-883.54,-0.0046,1,signal_reverse
sz.300502,2025-02-18,2025-02-26,86.052,77.37,1700,-14931.53,-0.1009,8,stop_loss
sz.002594,2025-02-18,2025-02-28,115.869,119.067,1200,3651.23,0.0276,10,timeout
sz.000408,2025-02-18,2025-02-28,31.12,30.788,4800,-1785.66,-0.0107,10,timeout
sh.600460,2025-02-18,2025-02-28,26.673,25.443,5600,-7074.39,-0.0461,10,timeout
sz.002938,2025-02-18,2025-02-28,39.84,38.707,3700,-4379.45,-0.0284,10,timeout
sz.002050,2025-02-25,2025-03-03,32.456,30.12,3000,-7126.09,-0.072,6,signal_reverse
sz.002384,2025-02-27,2025-03-03,34.769,31.261,3500,-12420.8,-0.1009,4,stop_loss
sz.002594,2025-03-03,2025-03-04,121.673,111.896,1200,-11906.33,-0.0804,1,signal_reverse
sh.600031,2025-03-03,2025-03-05,17.666,18.79,8400,9236.05,0.0636,2,signal_reverse
sz.300476,2025-03-04,2025-03-06,50.915,58.493,2900,21757.49,0.1488,2,take_profit
sh.600795,2025-02-27,2025-03-10,4.062,3.948,36900,-4378.53,-0.028,11,timeout
sh.601288,2025-02-27,2025-03-10,4.846,4.78,30900,-2242.66,-0.0137,11,timeout
sz.300866,2025-03-07,2025-03-11,104.306,99.637,1400,-6717.78,-0.0448,4,signal_reverse
sz.000408,2025-03-03,2025-03-12,31.033,35.652,4800,21949.71,0.1488,9,take_profit
sh.600989,2025-03-03,2025-03-13,15.735,16.516,8500,6453.24,0.0496,10,timeout
sh.603259,2025-03-04,2025-03-14,57.771,61.311,900,3113.93,0.0613,10,timeout
sz.300476,2025-03-11,2025-03-14,67.308,77.327,2200,21820.26,0.1489,3,take_profit
sz.002384,2025-03-05,2025-03-17,30.076,34.36,4400,18656.52,0.1425,12,timeout
sh.600036,2025-03-06,2025-03-17,40.117,42.043,3700,6926.95,0.048,11,timeout
sz.002594,2025-03-17,2025-03-18,126.065,127.863,1100,1795.26,0.0143,1,signal_reverse
sh.601288,2025-03-11,2025-03-21,4.78,4.808,31400,690.34,0.0059,10,timeout
sh.600938,2025-03-12,2025-03-24,24.013,25.126,6200,6698.99,0.0464,12,timeout
sh.600795,2025-03-13,2025-03-24,4.042,4.188,37100,5186.76,0.0359,11,timeout
sz.000408,2025-03-14,2025-03-24,36.382,34.555,4100,-7672.71,-0.0502,10,timeout
sz.002594,2025-03-24,2025-03-25,124.311,124.385,1200,-105.09,0.0006,1,signal_reverse
sh.600183,2025-03-18,2025-03-25,29.497,26.521,5000,-15053.77,-0.1009,7,stop_loss
sz.300476,2025-03-17,2025-03-27,83.573,82.081,1400,-2237.73,-0.0178,10,timeout
sh.603993,2025-03-18,2025-03-28,7.422,7.36,20200,-1456.96,-0.0084,10,timeout
sz.002050,2025-03-28,2025-03-31,29.686,29.083,3800,-2433.03,-0.0203,3,signal_reverse
sz.300502,2025-03-19,2025-03-31,71.482,69.733,2100,-3863.25,-0.0245,12,timeout
sh.600795,2025-03-25,2025-04-01,4.196,4.264,35700,2239.65,0.0163,7,signal_reverse
sz.002475,2025-03-31,2025-04-03,40.684,36.869,3600,-13905.61,-0.0938,3,signal_reverse
sz.300476,2025-04-01,2025-04-03,81.126,72.941,1800,-14904.86,-0.1009,2,stop_loss
sz.300832,2025-04-02,2025-04-07,57.14,52.998,2600,-10948.01,-0.0725,5,signal_reverse
sz.000408,2025-03-25,2025-04-07,34.702,31.356,4300,-14561.47,-0.0964,13,timeout
sh.600919,2025-03-25,2025-04-07,9.028,8.858,16600,-3017.49,-0.0189,13,timeout
sh.601288,2025-03-26,2025-04-07,4.894,4.752,30600,-4535.23,-0.029,12,timeout
sh.600938,2025-03-26,2025-04-07,25.319,22.109,5400,-17491.18,-0.1268,12,timeout
sz.002384,2025-04-01,2025-04-07,32.792,29.483,3400,-11379.8,-0.1009,6,stop_loss
sh.600919,2025-04-08,2025-04-09,8.837,8.867,16900,310.73,0.0034,1,signal_reverse
sh.600176,2025-04-08,2025-04-09,11.547,11.524,13000,-494.67,-0.002,1,signal_reverse
sh.600036,2025-04-08,2025-04-09,38.143,37.899,3900,-1144.66,-0.0064,1,signal_reverse
sz.300476,2025-04-08,2025-04-09,64.881,58.335,2300,-15231.43,-0.1009,1,stop_loss
sz.001965,2025-04-07,2025-04-14,12.03,12.468,12400,5231.54,0.0364,7,signal_reverse
sh.600875,2025-04-08,2025-04-16,13.836,14.925,2900,3101.18,0.0787,8,signal_reverse
sz.300866,2025-04-07,2025-04-17,72.759,74.921,1600,3303.54,0.0297,10,timeout
sz.000895,2025-04-08,2025-04-18,24.49,25.049,6100,3207.76,0.0228,10,timeout
sz.300476,2025-04-10,2025-04-21,70.329,81.459,2100,23149.03,0.1582,11,timeout
sh.600489,2025-04-10,2025-04-21,13.139,15.01,11400,21103.2,0.1424,11,timeout
sh.601288,2025-04-14,2025-04-24,4.846,5.281,30900,13208.23,0.0896,10,timeout
sh.600460,2025-04-15,2025-04-25,23.985,24.326,6200,1918.49,0.0142,10,timeout
sh.600674,2025-04-16,2025-04-28,16.283,16.563,8600,2216.23,0.0171,12,timeout
sh.600919,2025-04-17,2025-04-28,9.266,9.638,4600,1651.55,0.0401,11,timeout
sz.002714,2025-04-18,2025-04-28,38.941,38.068,3000,-2767.68,-0.0224,10,timeout
sh.600875,2025-04-29,2025-04-30,14.866,14.886,4600,-0.41,0.0013,1,signal_reverse
sz.002920,2025-04-21,2025-05-06,99.382,105.758,1500,9357.95,0.0642,15,timeout
sz.000408,2025-04-22,2025-05-06,34.431,35.548,4300,4602.04,0.0324,14,timeout
sz.300866,2025-04-22,2025-05-06,81.407,84.884,1800,6060.29,0.0427,14,timeout
sh.601288,2025-04-25,2025-05-06,5.301,5.082,28300,-6368.27,-0.0412,11,timeout
sh.603993,2025-04-28,2025-05-08,6.887,6.844,21800,-1118.23,-0.0062,10,timeout
sh.600674,2025-04-29,2025-05-09,16.596,16.787,9000,1521.91,0.0115,10,timeout
sh.600919,2025-04-29,2025-05-09,9.676,10.085,15500,6133.15,0.0422,10,timeout
sz.002241,2025-05-07,2025-05-13,22.152,23.489,6700,8756.49,0.0604,6,signal_reverse
sz.300866,2025-05-07,2025-05-13,87.647,100.693,1700,21956.09,0.1488,6,take_profit
sh.600460,2025-05-06,2025-05-16,25.214,24.486,2700,-2053.16,-0.0289,10,timeout
sz.002920,2025-05-07,2025-05-19,107.631,105.58,1300,-2845.02,-0.0191,12,timeout
sz.000408,2025-05-07,2025-05-19,35.918,34.469,4100,-6127.63,-0.0404,12,timeout
sz.300308,2025-05-09,2025-05-19,94.197,94.595,1500,411.87,0.0042,10,timeout
sh.600674,2025-05-12,2025-05-22,16.772,17.069,8900,2452.42,0.0178,10,timeout
sz.002475,2025-05-12,2025-05-22,33.093,31.462,4500,-7522.66,-0.0493,10,timeout
sz.300832,2025-05-14,2025-05-26,53.448,53.912,2800,1104.41,0.0087,12,timeout
sz.300866,2025-05-14,2025-05-26,95.686,97.03,1500,1826.67,0.014,12,timeout
sz.002594,2025-05-19,2025-05-28,127.938,122.552,1000,-5545.26,-0.0421,9,signal_reverse
sh.600674,2025-05-23,2025-05-30,17.074,16.504,8700,-5145.35,-0.0334,7,signal_reverse
sz.002920,2025-05-20,2025-05-30,105.781,109.144,1400,4508.54,0.0318,10,timeout
sz.000408,2025-05-20,2025-05-30,34.615,34.941,4300,1206.15,0.0094,10,timeout
sh.603993,2025-05-20,2025-05-30,6.887,6.873,19600,-444.82,-0.002,10,timeout
sz.300476,2025-05-23,2025-05-30,75.598,86.85,1900,21165.62,0.1488,7,take_profit
sz.300476,2025-06-03,2025-06-05,84.937,97.579,1700,21277.15,0.1489,2,take_profit
sz.300832,2025-05-27,2025-06-06,53.972,61.315,2700,19610.57,0.136,10,timeout
sh.600919,2025-05-27,2025-06-06,10.343,10.608,14500,3638.97,0.0256,10,timeout
sz.002920,2025-06-06,2025-06-09,104.99,98.462,1400,-9318.1,-0.0622,3,signal_reverse
sh.601288,2025-05-29,2025-06-09,5.235,5.281,23600,928.83,0.0088,11,timeout
sz.002384,2025-06-03,2025-06-09,27.778,31.912,5400,22103.45,0.1488,6,take_profit
sz.000408,2025-06-03,2025-06-13,35.339,38.988,4200,15112.71,0.1033,10,timeout
sh.600938,2025-06-03,2025-06-13,24.766,26.316,6000,9091.38,0.0626,10,timeout
sh.600183,2025-06-03,2025-06-13,25.895,27.619,5700,9620.8,0.0666,10,timeout
sz.300832,2025-06-09,2025-06-16,61.126,58.92,2400,-5478.78,-0.0361,7,signal_reverse
sz.300476,2025-06-10,2025-06-18,100.462,115.416,1400,20725.22,0.1488,8,take_profit
sz.002241,2025-06-09,2025-06-19,21.845,22.916,6800,7084.13,0.0491,10,timeout
sh.603993,2025-06-10,2025-06-20,7.241,7.427,20700,3650.26,0.0257,10,timeout
sh.600919,2025-06-10,2025-06-20,10.667,11.303,14000,8686.43,0.0595,10,timeout
sz.000408,2025-06-16,2025-06-26,39.143,40.52,3800,5031.87,0.0352,10,timeout
sh.601288,2025-06-16,2025-06-26,5.301,5.744,28300,12321.48,0.0835,10,timeout
sz.002938,2025-06-16,2025-06-26,29.059,30.699,5100,8159.8,0.0564,10,timeout
sz.300476,2025-06-23,2025-06-26,111.601,128.213,1300,21378.71,0.1488,3,take_profit
sz.002475,2025-06-17,2025-06-27,31.664,33.542,4700,8620.41,0.0593,10,timeout
sz.300433,2025-06-19,2025-06-30,21.829,22.203,6800,2350.75,0.0172,11,timeout
sz.002241,2025-06-20,2025-06-30,22.883,23.015,6500,663.04,0.0058,10,timeout
sh.603993,2025-06-23,2025-07-02,7.47,8.582,20000,22015.72,0.1488,9,take_profit
sz.300476,2025-06-27,2025-07-04,127.345,146.301,1100,20641.68,0.1488,7,take_profit
sz.000408,2025-06-27,2025-07-07,41.016,40.78,3600,-1040.92,-0.0058,10,timeout
sh.600460,2025-06-27,2025-07-07,24.725,24.346,6000,-2464.29,-0.0153,10,timeout
sh.600919,2025-06-27,2025-07-07,11.85,11.893,12600,346.02,0.0036,10,timeout
sz.300502,2025-06-30,2025-07-10,124.825,132.917,1200,9503.35,0.0648,10,timeout
sz.002920,2025-07-01,2025-07-11,100.697,100.654,1400,-243.73,-0.0004,10,timeout
sz.300433,2025-07-01,2025-07-11,22.268,22.591,6700,1973.37,0.0145,10,timeout
sh.600919,2025-07-08,2025-07-14,11.916,11.518,12600,-5207.46,-0.0334,6,signal_reverse
sh.600938,2025-07-08,2025-07-14,24.833,25.412,6000,3278.77,0.0233,6,signal_reverse
sz.002475,2025-07-03,2025-07-14,33.728,35.214,4400,6338.14,0.0441,11,timeout
sz.300502,2025-07-11,2025-07-15,134.424,154.433,1100,21789.12,0.1488,4,take_profit
sh.603993,2025-07-07,2025-07-17,8.318,7.967,18000,-6512.51,-0.0422,10,timeout
sh.600460,2025-07-08,2025-07-18,24.424,25.415,6100,5838.44,0.0405,10,timeout
sh.600183,2025-07-15,2025-07-22,34.148,39.231,4300,21637.31,0.1488,7,take_profit
sz.002920,2025-07-14,2025-07-24,100.865,103.24,1400,3137.15,0.0235,10,timeout
sz.000408,2025-07-14,2025-07-24,41.142,45.945,3600,17076.96,0.1168,10,timeout
sz.300502,2025-07-18,2025-07-24,186.686,167.85,800,-15243.9,-0.1009,6,stop_loss
sz.002475,2025-07-15,2025-07-25,35.325,38.172,4200,11750.39,0.0806,10,timeout
sh.600938,2025-07-15,2025-07-25,25.356,25.373,5900,-91.4,0.0007,10,timeout
sh.600176,2025-07-25,2025-07-28,12.845,12.593,11600,-3112.51,-0.0196,3,signal_reverse
sz.300308,2025-07-16,2025-07-28,179.583,191.255,800,9139.11,0.065,12,timeout
sh.600031,2025-07-23,2025-07-30,21.133,19.869,7100,-9160.04,-0.0598,7,signal_reverse
sh.600460,2025-07-21,2025-07-31,25.546,25.564,5800,-83.19,0.0007,10,timeout
sz.300502,2025-07-25,2025-07-31,172.472,198.145,800,20331.93,0.1488,6,take_profit
sz.002241,2025-07-28,2025-08-01,23.674,22.719,6300,-6204.26,-0.0404,4,signal_reverse
sz.002475,2025-07-29,2025-08-01,37.47,36.569,4000,-3795.92,-0.0241,3,signal_reverse
sz.300832,2025-07-31,2025-08-04,55.983,52.521,2600,-9178.71,-0.0618,4,signal_reverse
sz.002920,2025-07-25,2025-08-04,104.159,101.315,1400,-4165.86,-0.0273,10,timeout
sh.600460,2025-08-05,2025-08-06,26.116,25.934,5700,-1229.86,-0.007,1,signal_reverse
sz.000408,2025-07-28,2025-08-07,45.091,48.585,3300,11323.61,0.0775,10,timeout
sh.603993,2025-07-29,2025-08-08,8.999,9.612,16600,9956.53,0.068,10,timeout
sz.300308,2025-08-01,2025-08-11,212.263,214.062,700,1064.33,0.0085,10,timeout
sz.300502,2025-08-01,2025-08-11,185.325,192.697,800,5697.17,0.0398,10,timeout
sz.300502,2025-08-12,2025-08-13,193.573,222.387,700,19967.01,0.1488,1,take_profit
sh.600938,2025-08-04,2025-08-14,25.073,25.12,5900,86.22,0.0019,10,timeout
sh.601288,2025-08-04,2025-08-14,6.128,6.675,24500,13194.6,0.0893,10,timeout
sz.002920,2025-08-05,2025-08-15,101.627,107.564,1400,8116.41,0.0584,10,timeout
sh.600460,2025-08-07,2025-08-18,26.456,27.712,5600,6830.9,0.0475,11,timeout
sz.000408,2025-08-08,2025-08-18,48.461,47.978,3000,-1633.93,-0.01,10,timeout
