date,cash,positions_value,total_value
2024-01-02,259753.53,741797.27,1001550.8
2024-01-03,259753.53,739624.7,999378.22
2024-01-04,250438.78,748020.45,998459.23
2024-01-05,240286.53,753930.23,994216.76
2024-01-08,240286.53,748623.55,988910.08
2024-01-09,231974.89,764564.17,996539.06
2024-01-10,231974.89,752545.28,984520.18
2024-01-11,231974.89,765084.18,997059.07
2024-01-12,231974.89,758151.97,990126.86
2024-01-15,231974.89,770413.65,1002388.54
2024-01-16,255887.43,753156.66,1009044.09
2024-01-17,255887.43,741168.38,997055.8
2024-01-18,248386.98,761497.32,1009884.3
2024-01-19,248386.98,753556.34,1001943.31
2024-01-22,246681.43,744981.87,991663.3
2024-01-23,247467.01,757322.41,1004789.42
2024-01-24,247467.01,783507.03,1030974.04
2024-01-25,247467.01,791920.29,1039387.3
2024-01-26,247467.01,790454.76,1037921.77
2024-01-29,247467.01,787552.41,1035019.42
2024-01-30,247467.01,771289.22,1018756.22
2024-01-31,247467.01,757561.36,1005028.37
2024-02-01,247467.01,756386.59,1003853.6
2024-02-02,234854.69,762495.16,997349.85
2024-02-05,226945.72,776734.11,1003679.83
2024-02-06,244765.76,790310.29,1035076.05
2024-02-07,244765.76,791446.59,1036212.35
2024-02-08,249374.6,788904.22,1038278.82
2024-02-19,298367.27,755354.77,1053722.05
2024-02-20,298367.27,771906.6,1070273.88
2024-02-21,298367.27,766793.15,1065160.43
2024-02-22,320010.53,779616.01,1099626.53
2024-02-23,320010.53,775096.52,1095107.05
2024-02-26,311943.44,769099.56,1081043.0
2024-02-27,337864.23,758047.93,1095912.17
2024-02-28,325381.56,751303.04,1076684.59
2024-02-29,325381.56,769544.72,1094926.27
2024-03-01,325381.56,785302.72,1110684.27
2024-03-04,349043.35,770845.83,1119889.17
2024-03-05,349043.35,768078.63,1117121.98
2024-03-06,349043.35,763458.8,1112502.14
2024-03-07,338276.55,764480.51,1102757.06
2024-03-08,329178.67,772661.75,1101840.43
2024-03-11,333853.28,770926.69,1104779.97
2024-03-12,333853.28,773251.67,1107104.94
2024-03-13,325988.06,780204.32,1106192.38
2024-03-14,325988.06,769273.66,1095261.72
2024-03-15,325988.06,774381.03,1100369.09
2024-03-18,341110.25,763398.89,1104509.14
2024-03-19,341110.25,751922.81,1093033.06
2024-03-20,345805.56,752971.4,1098776.96
2024-03-21,345805.56,750746.7,1096552.26
2024-03-22,338498.24,747551.71,1086049.94
2024-03-25,328816.41,748231.49,1077047.9
2024-03-26,325939.97,737852.34,1063792.31
2024-03-27,313644.59,736933.06,1050577.65
2024-03-28,300453.97,764274.54,1064728.52
2024-03-29,300453.97,762436.26,1062890.23
2024-04-01,330255.92,763360.24,1093616.15
2024-04-02,330255.92,764385.91,1094641.83
2024-04-03,330255.92,766418.45,1096674.36
2024-04-08,330255.92,768218.4,1098474.32
2024-04-09,330255.92,766306.37,1096562.29
2024-04-10,330255.92,764868.76,1095124.67
2024-04-11,330255.92,764251.63,1094507.55
2024-04-12,330255.92,771079.5,1101335.42
2024-04-15,334606.24,785032.46,1119638.7
2024-04-16,334606.24,769345.23,1103951.47
2024-04-17,337588.37,784833.3,1122421.67
2024-04-18,352240.14,758944.4,1111184.54
2024-04-19,352240.14,761347.05,1113587.19
2024-04-22,348664.59,748714.86,1097379.45
2024-04-23,345952.38,735186.76,1081139.13
2024-04-24,329343.3,750559.54,1079902.83
2024-04-25,329343.3,746465.12,1075808.42
2024-04-26,329343.3,774425.51,1103768.81
2024-04-29,346016.16,779325.27,1125341.43
2024-04-30,369410.8,754732.68,1124143.49
2024-05-06,369410.8,763358.02,1132768.82
2024-05-07,369410.8,768300.85,1137711.65
2024-05-08,369410.8,760739.51,1130150.32
2024-05-09,369410.8,770520.12,1139930.93
2024-05-10,369410.8,766614.64,1136025.45
2024-05-13,359766.97,773652.46,1133419.44
2024-05-14,372266.82,753996.31,1126263.13
2024-05-15,368735.08,750814.21,1119549.29
2024-05-16,368735.08,755476.17,1124211.24
2024-05-17,368735.08,760973.8,1129708.88
2024-05-20,379739.79,751333.08,1131072.87
2024-05-21,379739.79,745578.71,1125318.5
2024-05-22,371573.58,747073.21,1118646.79
2024-05-23,371573.58,738654.59,1110228.17
2024-05-24,371573.58,727408.04,1098981.62
2024-05-27,370352.37,736933.23,1107285.6
2024-05-28,370352.37,728465.34,1098817.7
2024-05-29,370352.37,733621.59,1103973.95
2024-05-30,361971.03,733273.52,1095244.55
2024-05-31,361971.03,729810.24,1091781.27
2024-06-03,361971.03,732270.89,1094241.92
2024-06-04,348192.17,743433.11,1091625.28
2024-06-05,346884.25,739791.96,1086676.21
2024-06-06,346884.25,741849.34,1088733.59
2024-06-07,346884.25,742826.84,1089711.09
2024-06-11,346884.25,736594.32,1083478.57
2024-06-12,342975.04,748660.94,1091635.97
2024-06-13,339485.17,747048.95,1086534.13
2024-06-14,327316.56,743089.73,1070406.29
2024-06-17,327316.56,734658.94,1061975.5
2024-06-18,327316.56,738412.75,1065729.31
2024-06-19,327316.56,731294.61,1058611.17
2024-06-20,312743.65,744302.02,1057045.67
2024-06-21,312743.65,741528.73,1054272.39
2024-06-24,304085.0,741209.5,1045294.5
2024-06-25,293525.71,733755.98,1027281.69
2024-06-26,293525.71,748903.66,1042429.37
2024-06-27,285226.61,745713.85,1030940.46
2024-06-28,285226.61,751924.18,1037150.79
2024-07-01,285226.61,763802.11,1049028.72
2024-07-02,285226.61,759228.75,1044455.35
2024-07-03,285226.61,756080.9,1041307.51
2024-07-04,284182.21,752401.85,1036584.06
2024-07-05,284182.21,755100.36,1039282.57
2024-07-08,284182.21,755404.93,1039587.14
2024-07-09,278800.12,776902.91,1055703.03
2024-07-10,271514.43,777069.85,1048584.28
2024-07-11,284265.75,764718.24,1048983.99
2024-07-12,284265.75,749991.47,1034257.22
2024-07-15,284265.75,747409.81,1031675.55
2024-07-16,300686.59,743708.65,1044395.25
2024-07-17,291498.32,739433.46,1030931.78
2024-07-18,295747.48,736619.22,1032366.7
2024-07-19,295747.48,737592.24,1033339.72
2024-07-22,285381.29,740093.77,1025475.06
2024-07-23,261046.37,744613.17,1005659.54
