date,total_value,cash,positions_value
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1000000.0,1000000.0,0.0
1970-01-01,1001797.79,105037.79,896760.0
1970-01-01,995126.02,102996.02,892130.0
1970-01-01,990430.02,102996.02,887434.0
1970-01-01,987989.02,102996.02,884993.0
1970-01-01,994043.02,102996.02,891047.0
1970-01-01,997122.02,102996.02,894126.0
1970-01-01,993259.02,102996.02,890263.0
1970-01-01,987802.02,102996.02,884806.0
1970-01-01,988184.02,102996.02,885188.0
1970-01-01,991252.02,102996.02,888256.0
1970-01-01,1005269.02,102996.02,902273.0
1970-01-01,1002151.02,102996.02,899155.0
1970-01-01,1004092.02,102996.02,901096.0
1970-01-01,1015929.02,102996.02,912933.0
1970-01-01,1021918.02,102996.02,918922.0
1970-01-01,1023125.02,102996.02,920129.0
1970-01-01,1030227.02,102996.02,927231.0
1970-01-01,1032710.02,102996.02,929714.0
1970-01-01,1025753.02,102996.02,922757.0
1970-01-01,1028871.02,102996.02,925875.0
1970-01-01,1038159.02,102996.02,935163.0
1970-01-01,1039959.02,102996.02,936963.0
1970-01-01,1030686.02,102996.02,927690.0
1970-01-01,1035723.02,102996.02,932727.0
1970-01-01,1032727.02,102996.02,929731.0
1970-01-01,1025346.02,102996.02,922350.0
1970-01-01,1033690.02,102996.02,930694.0
1970-01-01,1045163.02,102996.02,942167.0
1970-01-01,1054370.02,102996.02,951374.0
1970-01-01,1055950.02,102996.02,952954.0
1970-01-01,1058790.02,102996.02,955794.0
1970-01-01,1056344.02,102996.02,953348.0
1970-01-01,1042110.05,104643.05,937467.0
1970-01-01,1035267.05,104643.05,930624.0
1970-01-01,1030156.05,104643.05,925513.0
1970-01-01,1026145.05,104643.05,921502.0
1970-01-01,1013429.05,104643.05,908786.0
1970-01-01,1026137.05,104643.05,921494.0
1970-01-01,1035337.05,104643.05,930694.0
1970-01-01,1033359.45,132784.45,900575.0
1970-01-01,1042529.45,132784.45,909745.0
1970-01-01,1043188.45,132784.45,910404.0
1970-01-01,1048107.45,132784.45,915323.0
1970-01-01,1043637.45,132784.45,910853.0
1970-01-01,1035964.45,132784.45,903180.0
1970-01-01,1043676.45,132784.45,910892.0
1970-01-01,1045930.45,132784.45,913146.0
1970-01-01,1057803.45,132784.45,925019.0
1970-01-01,1061494.45,132784.45,928710.0
1970-01-01,1057339.45,132784.45,924555.0
1970-01-01,1060133.45,132784.45,927349.0
1970-01-01,1061089.45,132784.45,928305.0
1970-01-01,1065515.45,132784.45,932731.0
1970-01-01,1065163.45,132784.45,932379.0
1970-01-01,1070206.45,132784.45,937422.0
1970-01-01,1070847.45,132784.45,938063.0
1970-01-01,1072844.45,132784.45,940060.0
1970-01-01,1072732.45,132784.45,939948.0
1970-01-01,1076182.45,132784.45,943398.0
1970-01-01,1073214.45,132784.45,940430.0
1970-01-01,1079808.45,132784.45,947024.0
1970-01-01,1084847.9,146711.9,938136.0
1970-01-01,1092913.9,146711.9,946202.0
1970-01-01,1095677.67,221.67,1095456.0
1970-01-01,1104009.67,221.67,1103788.0
1970-01-01,1093466.67,221.67,1093245.0
1970-01-01,1088922.67,221.67,1088701.0
1970-01-01,1094850.67,221.67,1094629.0
1970-01-01,1091716.67,221.67,1091495.0
1970-01-01,1098772.67,221.67,1098551.0
1970-01-01,1109264.67,221.67,1109043.0
1970-01-01,1103351.67,221.67,1103130.0
1970-01-01,1100312.67,221.67,1100091.0
1970-01-01,1090366.59,149559.59,940807.0
1970-01-01,1098556.8,325.8,1098231.0
1970-01-01,1104734.8,325.8,1104409.0
1970-01-01,1105289.8,325.8,1104964.0
1970-01-01,1100240.8,325.8,1099915.0
1970-01-01,1104126.8,325.8,1103801.0
1970-01-01,1113387.44,22209.44,1091178.0
1970-01-01,1108472.44,22209.44,1086263.0
1970-01-01,1119839.44,22209.44,1097630.0
1970-01-01,1106732.55,18476.55,1088256.0
1970-01-01,1124014.55,18476.55,1105538.0
1970-01-01,1135197.52,40228.52,1094969.0
1970-01-01,1144341.04,60893.04,1083448.0
1970-01-01,1148737.04,60893.04,1087844.0
1970-01-01,1143048.04,60893.04,1082155.0
1970-01-01,1134884.04,60893.04,1073991.0
1970-01-01,1135609.69,49825.69,1085784.0
1970-01-01,1129279.69,49825.69,1079454.0
1970-01-01,1119860.69,49825.69,1070035.0
1970-01-01,1128927.69,49825.69,1079102.0
1970-01-01,1136269.69,49825.69,1086444.0
1970-01-01,1144559.69,49825.69,1094734.0
1970-01-01,1136939.69,49825.69,1087114.0
1970-01-01,1133000.69,49825.69,1083175.0
1970-01-01,1129120.69,49825.69,1079295.0
1970-01-01,1122876.69,49825.69,1073051.0
1970-01-01,1123301.69,49825.69,1073476.0
1970-01-01,1146492.69,49825.69,1096667.0
1970-01-01,1155596.69,49825.69,1105771.0
1970-01-01,1175946.69,49825.69,1126121.0
1970-01-01,1189866.69,49825.69,1140041.0
1970-01-01,1178934.69,49825.69,1129109.0
1970-01-01,1183092.69,49825.69,1133267.0
1970-01-01,1179759.69,49825.69,1129934.0
1970-01-01,1190616.69,49825.69,1140791.0
1970-01-01,1202285.63,71692.63,1130593.0
1970-01-01,1217088.11,118527.11,1098561.0
1970-01-01,1215268.11,118527.11,1096741.0
1970-01-01,1214903.11,118527.11,1096376.0
1970-01-01,1225219.11,118527.11,1106692.0
1970-01-01,1244300.11,118527.11,1125773.0
1970-01-01,1246105.32,141078.32,1105027.0
1970-01-01,1253509.32,141078.32,1112431.0
1970-01-01,1255799.32,141078.32,1114721.0
1970-01-01,1244076.32,141078.32,1102998.0
1970-01-01,1249239.32,141078.32,1108161.0
1970-01-01,1239691.31,3071.31,1236620.0
1970-01-01,1258038.31,3071.31,1254967.0
1970-01-01,1263710.31,3071.31,1260639.0
1970-01-01,1272842.07,31728.07,1241114.0
1970-01-01,1292530.07,31728.07,1260802.0
1970-01-01,1296946.07,31728.07,1265218.0
1970-01-01,1291216.07,31728.07,1259488.0
1970-01-01,1296585.07,31728.07,1264857.0
1970-01-01,1315469.28,73957.28,1241512.0
1970-01-01,1309453.68,95814.68,1213639.0
1970-01-01,1301786.68,95814.68,1205972.0
1970-01-01,1292755.68,95814.68,1196941.0
1970-01-01,1301919.24,100935.24,1200984.0
1970-01-01,1315727.25,102650.25,1213077.0
1970-01-01,1307075.25,102650.25,1204425.0
1970-01-01,1317721.25,102650.25,1215071.0
1970-01-01,1311638.15,104485.15,1207153.0
1970-01-01,1307074.21,106342.21,1200732.0
1970-01-01,1284621.29,99723.29,1184898.0
1970-01-01,1294809.02,80244.02,1214565.0
1970-01-01,1284942.6,61204.6,1223738.0
1970-01-01,1308611.6,61204.6,1247407.0
1970-01-01,1313380.44,81329.44,1232051.0
1970-01-01,1307583.31,88417.31,1219166.0
1970-01-01,1304380.34,66863.34,1237517.0
1970-01-01,1310220.34,66863.34,1243357.0
1970-01-01,1328625.24,90482.24,1238143.0
1970-01-01,1318130.24,90482.24,1227648.0
1970-01-01,1323444.24,90482.24,1232962.0
