symbol,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,holding_days,exit_reason
601838,1970-01-01,1970-01-01,14.204,14.006,-2272.39,-0.014,0,signal_reverse
600276,1970-01-01,1970-01-01,41.952,43.367,4754.06,0.0337,0,signal_reverse
300832,1970-01-01,1970-01-01,59.66,68.54,21978.07,0.1488,0,take_profit
688271,1970-01-01,1970-01-01,119.119,136.85,21063.55,0.1488,0,take_profit
002714,1970-01-01,1970-01-01,38.538,39.351,2891.63,0.0211,0,signal_reverse
600025,1970-01-01,1970-01-01,7.648,8.786,22087.82,0.1489,0,take_profit
600025,1970-01-01,1970-01-01,8.879,8.651,-4035.33,-0.0256,0,signal_reverse
002241,1970-01-01,1970-01-01,18.418,21.16,21983.97,0.1488,0,take_profit
601088,1970-01-01,1970-01-01,28.629,32.89,21936.77,0.1488,0,take_profit
600522,1970-01-01,1970-01-01,12.372,11.439,-11479.03,-0.0755,0,signal_reverse
601988,1970-01-01,1970-01-01,3.834,4.404,22089.14,0.1488,0,take_profit
601939,1970-01-01,1970-01-01,6.116,7.026,22080.59,0.1488,0,take_profit
601288,1970-01-01,1970-01-01,3.534,4.059,22077.2,0.1489,0,take_profit
601009,1970-01-01,1970-01-01,7.467,8.579,22117.61,0.1488,0,take_profit
000338,1970-01-01,1970-01-01,15.335,15.954,5800.31,0.0403,0,signal_reverse
600690,1970-01-01,1970-01-01,21.321,24.495,21992.82,0.1488,0,take_profit
601077,1970-01-01,1970-01-01,4.044,4.646,22108.47,0.1488,0,take_profit
601127,1970-01-01,1970-01-01,89.089,102.35,21004.55,0.1488,0,take_profit
603986,1970-01-01,1970-01-01,69.369,79.695,21466.24,0.1489,0,take_profit
600926,1970-01-01,1970-01-01,11.121,11.029,-1437.58,-0.0083,0,signal_reverse
002714,1970-01-01,1970-01-01,37.037,38.362,5098.92,0.0358,0,signal_reverse
600660,1970-01-01,1970-01-01,41.942,43.137,3985.95,0.0285,0,signal_reverse
002916,1970-01-01,1970-01-01,87.107,89.51,3887.93,0.0276,0,signal_reverse
600233,1970-01-01,1970-01-01,14.755,15.035,2632.71,0.019,0,signal_reverse
002241,1970-01-01,1970-01-01,17.618,16.883,-6429.81,-0.0417,0,signal_reverse
601127,1970-01-01,1970-01-01,102.312,91.989,-14620.04,-0.1009,0,stop_loss
603986,1970-01-01,1970-01-01,80.08,72.0,-14712.61,-0.1009,0,stop_loss
002625,1970-01-01,1970-01-01,19.029,21.861,21871.58,0.1489,0,take_profit
600160,1970-01-01,1970-01-01,22.072,23.107,6832.51,0.0469,0,signal_reverse
002938,1970-01-01,1970-01-01,23.133,22.388,-4957.59,-0.0322,0,signal_reverse
002625,1970-01-01,1970-01-01,24.214,21.771,-15323.39,-0.1009,0,stop_loss
603993,1970-01-01,1970-01-01,7.848,9.016,22087.82,0.1488,0,take_profit
000338,1970-01-01,1970-01-01,17.217,18.142,7839.18,0.0537,0,signal_reverse
601009,1970-01-01,1970-01-01,8.699,9.021,5341.51,0.037,0,signal_reverse
600674,1970-01-01,1970-01-01,16.456,16.633,1413.11,0.0108,0,signal_reverse
601229,1970-01-01,1970-01-01,6.386,7.337,22115.25,0.1488,0,take_profit
600926,1970-01-01,1970-01-01,11.401,13.098,22008.9,0.1488,0,take_profit
