symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
sz.300418,2024-01-03,2024-01-04,36.09,34.25,4100,-7721.72,-0.051,1,stop_loss
sz.300832,2024-01-03,2024-01-05,73.48,69.74,2000,-7668.97,-0.051,2,stop_loss
sz.300803,2024-01-03,2024-01-09,40.68,38.61,3600,-7642.08,-0.0509,6,stop_loss
sz.000786,2024-01-03,2024-01-16,23.41,26.89,6400,22073.13,0.1488,13,take_profit
sz.300418,2024-01-05,2024-01-18,33.98,32.25,4400,-7802.51,-0.051,13,stop_loss
sz.300308,2024-01-08,2024-01-22,71.14,81.73,2100,22014.96,0.1488,14,take_profit
sz.300832,2024-01-10,2024-01-22,70.03,66.47,2100,-7674.72,-0.051,12,stop_loss
sz.000786,2024-01-17,2024-01-22,25.95,24.63,5700,-7718.52,-0.051,5,stop_loss
sz.300418,2024-01-19,2024-01-22,34.69,32.92,4300,-7784.41,-0.051,3,stop_loss
sh.600188,2024-01-03,2024-01-23,13.78,13.98,10800,1967.71,0.0145,20,timeout
sz.000792,2024-01-23,2024-02-02,14.66,13.92,10200,-7805.62,-0.051,10,stop_loss
sz.300803,2024-01-23,2024-02-02,29.25,27.76,5100,-7784.2,-0.0509,10,stop_loss
sz.000792,2024-02-05,2024-02-05,13.83,13.13,10800,-7796.53,-0.051,0,stop_loss
sz.300308,2024-02-05,2024-02-06,76.99,88.45,1900,21554.87,0.1488,1,take_profit
sh.601456,2024-02-07,2024-02-08,9.87,10.1,15200,3372.75,0.0238,1,signal_reverse
sz.000786,2024-01-23,2024-02-19,24.59,27.12,6100,15259.58,0.1032,27,timeout
sz.300832,2024-01-23,2024-02-19,65.99,71.28,2200,11436.03,0.0802,27,timeout
sh.600188,2024-01-24,2024-02-19,14.02,16.1,10700,22101.9,0.1488,26,take_profit
sh.601788,2024-02-06,2024-02-22,14.65,16.84,10200,22025.8,0.1488,16,take_profit
sz.000983,2024-02-23,2024-02-26,10.94,10.38,13700,-7817.67,-0.0509,3,stop_loss
sz.300803,2024-02-19,2024-02-27,28.59,32.85,5200,21909.88,0.1488,8,take_profit
sz.300394,2024-02-28,2024-02-28,65.74,62.39,2200,-7547.44,-0.051,0,stop_loss
sz.300418,2024-02-20,2024-03-04,37.9,43.54,3900,21780.59,0.1488,13,take_profit
sz.300418,2024-03-05,2024-03-07,42.91,40.72,3400,-7612.77,-0.051,2,stop_loss
sz.000786,2024-02-20,2024-03-08,27.01,25.63,5500,-7751.68,-0.051,17,stop_loss
sh.600188,2024-02-20,2024-03-11,16.87,17.43,8800,4694.96,0.033,20,timeout
sh.600188,2024-03-12,2024-03-13,17.26,16.38,8600,-7746.78,-0.0509,1,stop_loss
sz.000792,2024-02-27,2024-03-18,15.47,17.03,9700,14989.96,0.1014,20,timeout
sz.300803,2024-02-29,2024-03-20,32.5,33.29,4600,3429.09,0.0243,20,timeout
sz.000792,2024-03-19,2024-03-22,17.03,16.16,8800,-7819.09,-0.051,3,stop_loss
sz.300803,2024-03-21,2024-03-25,33.68,31.97,4400,-7734.24,-0.051,4,stop_loss
sh.600188,2024-03-14,2024-03-26,16.32,15.49,9100,-7750.63,-0.051,12,stop_loss
sz.300418,2024-03-08,2024-03-27,40.27,38.22,3700,-7775.02,-0.051,19,stop_loss
sz.300803,2024-03-26,2024-03-27,31.94,30.31,4700,-7833.52,-0.051,1,stop_loss
sz.300832,2024-03-27,2024-03-28,71.8,68.15,2000,-7494.03,-0.0509,1,stop_loss
sz.000786,2024-03-11,2024-04-01,25.84,27.73,5800,10767.82,0.0733,21,timeout
sz.300418,2024-03-28,2024-04-01,36.88,42.37,4000,21738.17,0.1488,4,take_profit
sz.000792,2024-03-25,2024-04-15,16.23,16.66,9200,3822.12,0.0269,21,timeout
sz.002463,2024-03-28,2024-04-17,29.06,30.07,5100,4958.27,0.0348,20,timeout
sh.600346,2024-03-29,2024-04-18,12.54,14.41,11900,21994.47,0.1488,20,take_profit
sz.300418,2024-04-16,2024-04-18,41.31,39.2,3600,-7760.16,-0.051,2,stop_loss
sh.600188,2024-04-02,2024-04-22,15.95,16.13,9400,1519.57,0.0114,20,timeout
sz.000786,2024-04-02,2024-04-22,27.78,29.59,5400,9532.47,0.0649,20,timeout
sz.000157,2024-04-18,2024-04-22,8.34,7.91,18000,-7833.6,-0.051,4,stop_loss
sz.002463,2024-04-19,2024-04-22,29.59,28.08,5000,-7719.73,-0.0509,3,stop_loss
sz.000157,2024-04-23,2024-04-23,7.91,7.67,18900,-4715.79,-0.0303,0,signal_reverse
sz.000792,2024-04-19,2024-04-24,17.19,16.31,8700,-7802.95,-0.0509,5,stop_loss
sz.000786,2024-04-23,2024-04-24,29.58,28.07,5000,-7718.12,-0.051,1,stop_loss
sh.600188,2024-04-23,2024-04-29,15.97,15.15,9400,-7831.53,-0.051,6,stop_loss
sz.300803,2024-04-23,2024-04-29,28.2,32.4,5300,22024.13,0.1488,6,take_profit
sz.000786,2024-04-25,2024-04-30,27.56,31.66,5400,21927.65,0.1488,5,take_profit
sz.300803,2024-04-30,2024-05-13,32.22,30.57,4600,-7733.09,-0.051,13,stop_loss
sz.002179,2024-04-24,2024-05-14,32.05,34.15,4600,9462.22,0.0656,20,timeout
sz.002601,2024-05-14,2024-05-14,20.28,20.06,7400,-1789.1,-0.0106,0,signal_reverse
sz.002463,2024-04-25,2024-05-15,29.92,30.69,5000,3644.08,0.0257,20,timeout
sz.300803,2024-05-15,2024-05-15,31.46,29.85,4700,-7715.09,-0.051,0,stop_loss
sz.000792,2024-04-30,2024-05-20,16.72,17.96,8900,10875.53,0.0745,20,timeout
sz.002601,2024-05-21,2024-05-22,21.23,20.15,7000,-7754.76,-0.051,1,stop_loss
sz.000786,2024-05-06,2024-05-27,31.34,31.57,4700,887.9,0.0073,21,timeout
sz.002463,2024-05-16,2024-05-30,31.47,29.87,4700,-7718.22,-0.051,14,stop_loss
sz.300832,2024-05-15,2024-06-04,72.37,71.66,2000,-1599.07,-0.0098,20,timeout
sh.600188,2024-05-28,2024-06-04,17.17,16.29,8700,-7794.16,-0.051,7,stop_loss
sz.300803,2024-05-16,2024-06-05,29.79,29.55,5000,-1384.62,-0.008,20,timeout
sz.002601,2024-05-23,2024-06-12,20.41,19.75,7300,-4995.7,-0.0323,20,timeout
sz.000786,2024-05-31,2024-06-13,30.94,29.37,4800,-7750.49,-0.051,13,stop_loss
sz.300832,2024-06-14,2024-06-14,72.11,68.44,2000,-7525.9,-0.051,0,stop_loss
sz.000792,2024-06-05,2024-06-20,17.48,16.59,8500,-7752.34,-0.0509,15,stop_loss
sz.300418,2024-06-13,2024-06-20,34.38,32.63,4300,-7714.89,-0.0509,7,stop_loss
sz.300803,2024-06-17,2024-06-20,29.18,27.69,5100,-7765.85,-0.051,3,stop_loss
sh.600188,2024-06-06,2024-06-24,15.83,15.02,9400,-7765.63,-0.051,18,stop_loss
sh.601985,2024-06-05,2024-06-25,9.73,10.11,15400,5716.35,0.0395,20,timeout
sz.300308,2024-06-21,2024-06-25,139.77,132.65,1000,-7293.68,-0.0509,4,stop_loss
sz.300059,2024-06-21,2024-06-27,11.87,11.26,12600,-7803.16,-0.0509,6,stop_loss
sz.300015,2024-06-25,2024-07-04,10.39,9.86,14400,-7809.89,-0.051,9,stop_loss
sz.000792,2024-06-26,2024-07-09,16.77,15.91,8900,-7787.07,-0.051,13,stop_loss
sh.600188,2024-06-28,2024-07-10,15.0,14.23,10000,-7826.69,-0.051,12,stop_loss
sz.002463,2024-06-21,2024-07-11,35.88,40.3,4100,17905.16,0.1232,20,timeout
sz.300476,2024-07-11,2024-07-11,39.32,37.31,3800,-7796.12,-0.051,0,stop_loss
sh.601985,2024-06-26,2024-07-16,10.09,11.23,14800,16774.45,0.1138,20,timeout
sz.002463,2024-07-12,2024-07-17,38.63,36.66,3800,-7660.09,-0.0509,5,stop_loss
sz.300308,2024-07-05,2024-07-18,142.85,135.57,1000,-7454.61,-0.051,13,stop_loss
sz.002475,2024-07-10,2024-07-22,40.77,38.69,3600,-7659.28,-0.051,12,stop_loss
sz.002371,2024-07-19,2024-07-23,262.22,248.86,500,-6841.81,-0.051,4,stop_loss
sh.600188,2024-07-23,2024-07-25,14.37,13.64,10400,-7798.19,-0.051,2,stop_loss
sz.000786,2024-07-18,2024-07-29,26.96,25.59,5500,-7737.51,-0.0509,11,stop_loss
sz.300832,2024-07-12,2024-07-30,58.8,55.8,2500,-7671.03,-0.051,18,stop_loss
sz.300476,2024-07-30,2024-07-30,39.52,37.51,3700,-7631.12,-0.0509,0,stop_loss
sz.300803,2024-07-26,2024-07-31,23.44,26.93,6400,22106.27,0.1488,5,take_profit
sz.300476,2024-07-31,2024-07-31,37.72,35.8,3900,-7676.71,-0.051,0,stop_loss
sh.601985,2024-07-17,2024-08-02,11.25,10.67,13300,-7805.55,-0.051,16,stop_loss
sz.300803,2024-08-01,2024-08-02,27.48,26.08,5400,-7742.52,-0.0509,1,stop_loss
sz.000792,2024-08-01,2024-08-05,15.58,14.78,9600,-7802.8,-0.051,4,stop_loss
sz.300476,2024-08-06,2024-08-07,31.72,30.55,4700,-5688.35,-0.0369,1,signal_reverse
sz.300418,2024-07-24,2024-08-08,29.13,27.64,5100,-7752.34,-0.051,15,stop_loss
sz.300015,2024-08-09,2024-08-19,10.67,10.12,14000,-7793.71,-0.051,10,stop_loss
