date,total_value,cash,positions_value
2024-01-02,1000000.0,1000000.0,0.0
2024-01-03,1000000.0,1000000.0,0.0
2024-01-04,1000000.0,1000000.0,0.0
2024-01-05,1000000.0,1000000.0,0.0
2024-01-08,1000000.0,1000000.0,0.0
2024-01-09,1001437.4751200001,850205.4751200001,151232.0
2024-01-10,1001369.4751200001,850205.4751200001,151164.0
2024-01-11,1002694.7187866,700232.7187866,302462.0
2024-01-12,1001842.7187866,700232.7187866,301610.0
2024-01-15,1002402.9881820001,553359.9881820001,449043.0
2024-01-16,1006484.9881820001,553359.9881820001,453125.0
2024-01-17,995106.9881820001,553359.9881820001,441747.0
2024-01-18,1017781.1129923002,264686.1129923001,753095.0
2024-01-19,1015517.1129923002,264686.1129923001,750831.0
2024-01-22,1010433.1129923002,264686.1129923001,745747.0
2024-01-23,1009319.1129923002,264686.1129923001,744633.0
2024-01-24,1011725.6663275001,412449.66632750013,599276.0
2024-01-25,1030013.6663275001,412449.66632750013,617564.0
2024-01-26,1030058.5279443001,577006.5279443001,453052.0
2024-01-29,1031626.4760963001,430656.47609630006,600970.0
2024-01-30,1018466.1535613,578366.1535613,440100.0
2024-01-31,1019459.6039756001,428552.60397560004,590907.0
2024-02-01,1017930.6039756001,428552.60397560004,589378.0
2024-02-02,1011912.7877483001,570827.7877483001,441085.0
2024-02-05,1015917.0832883001,422435.08328830014,593482.0
2024-02-06,1029625.9887383002,273741.98873830016,755884.0
2024-02-07,1034664.9887383002,273741.98873830016,760923.0
2024-02-08,1037324.9887383002,273741.98873830016,763583.0
2024-02-19,1037402.1703594002,591233.1703594002,446169.0
2024-02-20,1039405.1115494003,597190.1115494003,442215.0
2024-02-21,1054762.2683485004,302618.2683485003,752144.0
2024-02-22,1058905.2683485004,302618.2683485003,756287.0
2024-02-23,1058200.2683485004,302618.2683485003,755582.0
2024-02-26,1043867.2683485004,302618.2683485003,741249.0
2024-02-27,1044907.2683485004,302618.2683485003,742289.0
2024-02-28,1038942.2683485004,302618.2683485003,736324.0
2024-02-29,1048703.2683485004,302618.2683485003,746085.0
2024-03-01,1046602.2683485004,302618.2683485003,743984.0
2024-03-04,1036282.2683485004,302618.2683485003,733664.0
2024-03-05,1042639.4912513003,300772.4912513003,741867.0
2024-03-06,1034889.8683071004,453386.8683071004,581503.0
2024-03-07,1028229.1737961003,470175.17379610037,558054.0
2024-03-08,1029296.4798771003,320250.4798771004,709046.0
2024-03-11,1048360.4798771003,320250.4798771004,728110.0
2024-03-12,1064932.4798771003,320250.4798771004,744682.0
2024-03-13,1060399.4798771003,320250.4798771004,740149.0
2024-03-14,1075878.3602380515,488839.3602380514,587039.0
2024-03-15,1078917.1975180514,346254.1975180514,732663.0
2024-03-18,1087593.3436216074,348905.3436216074,738688.0
2024-03-19,1081082.785359007,507467.7853590071,573615.0
2024-03-20,1084800.221504207,506748.22150420706,578052.0
2024-03-21,1084387.221504207,506748.22150420706,577639.0
2024-03-22,1070777.743626507,369310.7436265071,701467.0
2024-03-25,1054682.0010878919,369065.0010878919,685617.0
2024-03-26,1064130.8354559224,504296.8354559223,559834.0
2024-03-27,1053776.8354559224,504296.8354559223,549480.0
2024-03-28,1056535.8969419221,355723.89694192226,700812.0
2024-03-29,1049890.8969419221,355723.89694192226,694167.0
2024-04-01,1066158.0789419222,495402.0789419223,570756.0
2024-04-02,1062141.0789419222,495402.0789419223,566739.0
2024-04-03,1053899.0789419222,495402.0789419223,558497.0
2024-04-08,1048138.3609712223,627658.3609712223,420480.0
2024-04-09,1046286.1274321225,481318.1274321225,564968.0
2024-04-10,1038334.494494814,320733.4944948139,717601.0
2024-04-11,1036702.494494814,320733.4944948139,715969.0
2024-04-12,1029446.494494814,320733.4944948139,708713.0
2024-04-15,1049151.494494814,320733.4944948139,728418.0
2024-04-16,1048476.494494814,320733.4944948139,727743.0
2024-04-17,1057675.494494814,320733.4944948139,736942.0
2024-04-18,1065183.494494814,320733.4944948139,744450.0
2024-04-19,1059299.494494814,320733.4944948139,738566.0
2024-04-22,1055947.494494814,320733.4944948139,735214.0
2024-04-23,1053408.494494814,320733.4944948139,732675.0
2024-04-24,1055138.5251480138,595526.5251480138,459612.0
2024-04-25,1059530.5088216139,614690.5088216139,444840.0
2024-04-26,1067981.7980516138,478613.79805161385,589368.0
