date,total_value,cash,positions_value
2024-01-02,1000679.6915750001,554671.6915750001,446008.0
2024-01-03,994981.7714038001,404572.7714038001,590409.0
2024-01-04,996861.7714038001,404572.7714038001,592289.0
2024-01-05,1000020.7714038001,404572.7714038001,595448.0
2024-01-08,991334.8963995373,542252.8963995373,449082.0
2024-01-09,991631.8963995373,542252.8963995373,449379.0
2024-01-10,989858.8963995373,542252.8963995373,447606.0
2024-01-11,990038.8963995373,542252.8963995373,447786.0
2024-01-12,993107.8963995373,542252.8963995373,450855.0
2024-01-15,997714.1657949374,395380.1657949374,602334.0
2024-01-16,1003051.1657949374,395380.1657949374,607671.0
2024-01-17,992349.5956482374,545961.5956482374,446388.0
2024-01-18,1005503.1323568374,256934.1323568374,748569.0
2024-01-19,1001584.1323568374,256934.1323568374,744650.0
2024-01-22,996471.1323568374,256934.1323568374,739537.0
2024-01-23,997627.1323568374,256934.1323568374,740693.0
2024-01-24,1001779.1323568374,256934.1323568374,744845.0
2024-01-25,1017787.1323568374,256934.1323568374,760853.0
2024-01-26,1019060.1323568374,256934.1323568374,762126.0
2024-01-29,1016680.659957171,395717.659957171,620963.0
2024-01-30,1008439.911295671,394478.911295671,613961.0
2024-01-31,1008300.911295671,394478.911295671,613822.0
2024-02-01,1008125.257398471,400593.257398471,607532.0
2024-02-02,1001284.3454110711,709583.3454110711,291701.0
2024-02-05,1004391.2614274712,414588.2614274711,589803.0
2024-02-06,1016120.3736944712,265284.3736944712,750836.0
2024-02-07,1022553.3736944712,265284.3736944712,757269.0
2024-02-08,1025897.3736944712,265284.3736944712,760613.0
2024-02-19,1033450.6854348711,427647.6854348711,605803.0
2024-02-20,1035808.1293728712,293835.1293728712,741973.0
2024-02-21,1067100.6315656712,313234.6315656712,753866.0
2024-02-22,1071359.6315656712,313234.6315656712,758125.0
2024-02-23,1075147.6315656712,313234.6315656712,761913.0
2024-02-26,1061080.6315656712,313234.6315656712,747846.0
2024-02-27,1066141.6315656712,313234.6315656712,752907.0
2024-02-28,1060494.6315656712,313234.6315656712,747260.0
2024-02-29,1070599.6315656712,313234.6315656712,757365.0
2024-03-01,1073082.6315656712,313234.6315656712,759848.0
2024-03-04,1061246.6315656712,313234.6315656712,748012.0
2024-03-05,1068179.4324400714,335990.43244007125,732189.0
2024-03-06,1062442.5041268715,335962.50412687135,726480.0
2024-03-07,1058249.9227140713,333376.9227140714,724873.0
2024-03-08,1056469.9227140713,333376.9227140714,723093.0
2024-03-11,1068808.9227140713,333376.9227140714,735432.0
2024-03-12,1070253.9227140713,333376.9227140714,736877.0
2024-03-13,1067947.9227140713,333376.9227140714,734571.0
2024-03-14,1079718.9227140713,333376.9227140714,746342.0
2024-03-15,1080675.9227140713,333376.9227140714,747299.0
2024-03-18,1084635.9227140713,333376.9227140714,751259.0
2024-03-19,1081307.3430053066,344752.34300530644,736555.0
2024-03-20,1079273.3430053066,344752.34300530644,734521.0
2024-03-21,1073022.1426717066,368563.1426717065,704459.0
2024-03-22,1072855.6823457065,517200.6823457065,555655.0
2024-03-25,1062858.8620897066,369488.8620897065,693370.0
2024-03-26,1074877.8620897066,369488.8620897065,705389.0
2024-03-27,1057147.8620897066,369488.8620897065,687659.0
2024-03-28,1058470.8620897066,369488.8620897065,688982.0
2024-03-29,1052929.5329360329,343283.53293603286,709646.0
2024-04-01,1065498.5329360329,343283.53293603286,722215.0
2024-04-02,1055314.5329360329,343283.53293603286,712031.0
2024-04-03,1052192.6918180329,482103.6918180329,570089.0
2024-04-08,1041476.3255581411,747156.3255581411,294320.0
2024-04-09,1041175.3406045411,892549.3406045411,148626.0
2024-04-10,1042003.3406045411,892549.3406045411,149454.0
2024-04-11,1041129.3406045411,892549.3406045411,148580.0
2024-04-12,1040301.3406045411,892549.3406045411,147752.0
